Location name,Region,Page,Pleiades ID (pleiades.stoa.org/ ),y/lat,x/lng,Number of buildings,Decription,Date - text,Date - precise,Date - post quem,Date - ante quem,Ceased to exist,Cited,Other literature in text,Notes,Coded by,Notes 2
Djemila (Cuicul in Numidia),North Africa,128,305068,36.314984,5.737505,1,a north church,390s,,390,399,,"Fevrier 1970a, 212; Gui et al. 1992, 92f., 96f",,,Trojanová,
Djemila (Cuicul in Numidia),North Africa,128,305068,36.314984,5.737505,1,"south church, constructed out of a disused temple",390s,,390,399,,"Allais 1938,29; Fevrier 1970a, 212; Gui et al. 1992, 96f",,,Trojanová,
Djemila (Cuicul in Numidia),North Africa,128,305068,36.314984,5.737505,1,in a western cemetery,4th. cent.,,301,400,,-,,chybějící citace,Trojanová,
Djemila (Cuicul in Numidia),North Africa,128,305068,36.314984,5.737505,1,a cemetery church,390s?,,390,399,,"Gui et al. 1992, 1.102f",,,Trojanová,
Cirta,North Africa,128,305064,36.368645,6.615415,1,a house-church,by end ofthe 3rd c,,275,300,,Fevrier (1989-90) 181£.,MacMullen and Lane (1992) 257f,"pleiades: Cirta/Constantina; items for liturgy and distribution, calices and clothing were stored",Kneblová,
Tipasa,North Africa,131,295363,36.593951,2.440944,1,a huge cathedral with a pair of aisles on each side,probably 4th c.;,,301,400,,"Lancel and Bouchenaki 1971, 40, 43; Gui et al. 1992, 1.22f.",,,Trojanová,
Tipasa,North Africa,131,295363,36.593951,2.440944,1,"""the Chapel of Alexander"", adjoining a cemetery","late 4th or early 5th c.,",,375,424,,"Christofie 1938, 82; Leschi 1950, 40-51; Leschi 1957, 371f., 378f., plan; Baradez 1966, 2.1135ff.; Fevrier 1970a, 192f. and fig. 1; N. Duval
 1971, 2. 12f., fig. 5; Lancel and Bouchenaki 1971, 47f.; Y. Duval 1982, 371ff., 461f.; Fevrier 1986, 14; Gui et al. 1992, 1.34f., 2.36; Rebillard 1996, 187f.",,,Trojanová,
Tipasa,North Africa,132,295363,36.593951,2.440944,1,"""Eglise VII"", ""Peter and Paul's"", so-called because of the many dedications in it, surrounded by burials",4 th. C,,301,400,,"Gui et al. 1992, 1.30, 35-37; 2.37 plan; Y. Duval 1982, 357f.",,,Trojanová,
Tipasa,North Africa,132,295363,36.593951,2.440944,1,St. Salsa basilica,2nd half of the 4th c.,,351,400,,"Gsell 1893, 12-20; Grandidier 1902, 52,58ff; Leschi 1952, 182, photo of burials; Christern 1968, 199 fig. 4, 207 fig. 12,226; Fevrier 1970a, 196ff. and fig. 2; Fevrier 1986, 14f.; Y. Duval 1982, 459, 463; Gui et al. 1992, 1.37f",,,Trojanová,
Rusguniae (on the coast of Mauretania Caesariensis),North Africa,130,295331,36.808485,3.231468,1,church,of the 4th c. or early 5th,,301,424,,-,,chybějící citace,Trojanová,
"Orleansville (Castellum Tingitanum, modern EI Asnam):",North Africa,130,295245,36.166446,1.332622,1,chapel in memory of several martyrs,329,329,,,,"Duval 1982, 1.402ff.",,,Trojanová,
"Orleansville (Castellum Tingitanum, modern EI Asnam):",North Africa,130,295245,36.166446,1.332622,1,a church with an apse at each end,324,324,,,,"Leschi 1940, 1.149; Gui et al. 1.1992, 11, 14; expressing doubts about the date, N. Duval 1978, 528f.; N. Duval 1999, 9",,nalezeno pod (Mactaris),Trojanová,
Altava,North Africa,126-127,285413,34.903623,-1.031484,1,bassilica ,308-337,,308,337,,"Fevrier 1970a, 209f.; Ferrua 1977, 227; N. Duval 1978, 529, expressing caution about dating; Y. Duval 1982, 506f.; White 1997, 240ff.
 240ff",-,,Kneblová,
Narbo,The Northwest Empire,141,246347,43.183585,3.004308,1,a ruined house renovated for a church,late 4th century,,375,400,,"Duval 1995b, 32-36",,,Juro,
Tyre,The Eastern Empire,123,226801,31.125422,32.229444,1,basilica,-,,300,325,,"(cf. esp. Orlandos 31t., reconstruction in fig. 11",,,Juro,
Serdica,"Greece including Salona, and lower Danube",125,207439,42.722826,23.342891,1,a cemetery church,4th c.,,301,399,,"N. Duval and Popovic 1984, 375",,modern Sofia,Kneblová,
Serdica (Sofia),The Northwest Empire,141,207439,42.722826,23.342891,1,4th c. funerary church,4th c. funerary church,,301,400,,"N. Duval and Popovic 1984, 374£.",,,Juro,
Brad (Syria),The Eastern Empire,119,206980,46.124348,22.78735,1,basilica built by the architect Julianus,a late 4th c.,,375,400,,"Butler 1929, 18f, 34f; Lassus 1947,31, 74, 169 fig. 77 plan, pI. xxix, 1-3; 231, 257, the text of the Julianus inscription, 259; Nussbaum 1965, 1.54; J. Lassus in N. Duval et al. 1972,219,221 fig. 4, D, plan; Gamber 1976, 2.19 Abb. 32, plan and reconstruction",,"Romania > Hunedoara, DARMC location 24509, DARE location není uvedeno, ",Průšová,
Salona,"Greece including Salona, and lower Danube",125,197488,43.539561,16.483426,1,"a ""old"" church",perhaps of the 320s,,320,329,,"Egger 1917, 80, fig. 151; 82, fig. 156; 90ff., fig. 176; 138; Rendic-Miocevic 1991, 373; Caillet 1993, 384; Marin 1994, xvi)",,"was covered over by new building toward the turn of the 5th c.; its remains, now lying under the much bigger northern one of a pair built next to each other",Kneblová,
Salona,"Greece including Salona, and lower Danube",125,197488,43.539561,16.483426,1,Manastirine cemetery-church,wrongly dated to the second quarter of the 4th c.,,-,-,,"earlier discussions superseded by N. Duval et al. 2000, 645f.",,,Kneblová,
Salona,"Greece including Salona, and lower Danube",125,197488,43.539561,16.483426,1,Kapljuc cemetery-church,the mid-4th c.,,325,374,,"Br0nsted 1928, passim; Dyggve 1951, 79f., 83, 94, pI. 4.26f.; Marin 1986,222; Marin 1989,2.1231",,,Kneblová,
"Pola (Pula, Croatia)","Greece including Salona, and lower Danube",125,197448,44.869567,13.841124,1,a church,early decades of the 4th c,,300,329,,"Marusic 1978,569",,built on the ruins of an earlier baths,Kneblová,
"Pola (Pula, Croatia)","Greece including Salona, and lower Danube",125,197448,44.869567,13.841124,1,St. Thomas church,in the 390s,,390,399,,ibid.,,,Kneblová,
Narona (Vid),"Greece including Salona, and lower Danube",124,197400,43.046389,17.598611,1,a church,the late 4th c. or more probably the early 5th,,375,424,,"Carra Bonacasa and Morfino 2003-4, 27n.; Chevalier 1996, 1.436ff.; 2.pl.l.xv, fig. 2",,the city's first cathedral,Kneblová,
"Iader (Zadar, Croatia)","Greece including Salona, and lower Danube",124,197312,44.115501,15.223778,1,a church,in the first half of the 4th c. or toward the close,,301,400,,"Chevalier 1996, 1.102 and pl. XVIII; 2 fig. 1; Uglesic 2002, 12f.; Vezic 2005, 18-23",,,Kneblová,
Trieste,"Greece including Salona, and lower Danube",126,187578,45.649148,13.7717,1,"a private chapel, ""oratorio"" in the cemetery",,,-,-,,"Pross Gabrielli 1969, 18-22",,"pleiades: Tergeste; the chapel was built
 over to become an apsidal martyr-shrine with a stone table, a mensa, in the center
 of the chancel",Kneblová,
Trieste,"Greece including Salona, and lower Danube",126,187578,45.649148,13.7717,1,a chapel to family members seen as saints,mid-4th c,,325,374,,"Pross Gabrielli 1969,22",,pleiades: Tergeste; in a private residence,Kneblová,
Aquileia,Italy with Sardinia and Corsica,132,187290,45.769631,13.370946,1,an episcopal complex,in the 350s,,350,359,,"Sotinel 2005, 44f., 217f.; Testini et al. 1989, 184; Tavano 1989b, 176; Mirabella Roberti 1995,217; Caillet 1993, 127f., 140; White 1997,200,206; Salzman 2007,217-23",,,Milan,
Aquileia,Italy with Sardinia and Corsica,132,187290,45.769631,13.370946,1,"""Theodore"" basilica",perhaps ca. 350,,345,354,,"Lemarié 1989, 86f.; Cuscito 1995, 92ff.; Sotinel 2005, 41ff. and passim",,,Jana,
Aquileia,Italy with Sardinia and Corsica,132,187290,45.769631,13.370946,1,S. Illario near city cnter,dating to 390s,,390,399,,"Violante and Fonseca 1996, 329; Jäggi 1989, 298, 300f.",,,Jana,
Augustodunum,The Northwest Empire,140,177460,46.945032,4.299041,1,funerary chapel,early 4th century,,300,329,,"(Young 1988, 219f.",,,Juro,
Arles,The Northwest Empire,140,148217,43.677616,4.630799,1,"4th c. church,",4th century,,301,400,,"Heijmans and Guyon 2006,90",,,Juro,
Monferrand,The Northwest Empire,141,138202,45.778648,3.086012,1,a small town on the Avignon road,4th century,,301,400,,"N. Duval 1995b, 26-30",,pleiades: Augustonemetum,Juro,
Portus,Italy with Sardinia and Corsica,135,118912,48.893378,8.70439,1,"in very center of the city, a church probably of the 4th c.",4th c.,,301,400,,"(Testini et al. 1989, 19ff.; Fiocchi Nicolai 2003, 311); (Pavolini 2006, 290)",,,Milan,
Lyon,The Northwest Empire,141,109128,49.397126,1.475906,1,Saint-Just basilica,4th century,,301,400,,"N. Duval, 1991, 198",,,Juro,
Arezzo,Italy with Sardinia and Corsica,133,41332,43.471274,11.863048,1,a diocese therefore a cathedral?,337-352,,337,352,,"Testini et al.1989, 19",,pleiades: Arretium (modern Arezzo),Jana,
Lullingstone,The Northwest Empire,141,20984,51.357967,0.195889,1,a chapel of mid-4th c,mid 4th century,,325,374,,"Frend 1984, 564",,,Juro,
Cornus,The Northwest Empire,141,20198,40.10439,8.492635,1,north church in the cemetery,mid 4th century,,325,374,,"Giuntella 1999, 39 fig. 19, 42f., 200f. Tav. II",,,Juro,
Altava,North Africa,126,11328,34.903623,-1.031484,1,"rebuilt (1. J. Hall 2004, 172f.)","datable to 308-337, perhaps precisely 309",,309,337,,,,,Juro,
Umm Idi-Djimal,The Eastern Empire,123,,-,-,1,basillica,4th century,,375,425,,"Shereshevski 1991, 115",,,Juro,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Trojanová,
